Molecule,Score
CC(C)C(=O)C(=O)NC(C)C(=O)NC1c2ccccc2CCN(C)C1Oos,-11.16
O=C(C1CC=CCC1)N1CCc2nn(CC3CC3)c(=O)n2CC1os,-11.159
Cn1cc(C(O)N2CCOc3ccccc3C2)cc1Oos,-11.157
Cc1cc(F)c(CNC(=O)CN2CCCCC(=O)C2O)c(F)c1os,-11.15
Cc1cccc(C)c1OCC(=O)NC1CCCCNC1=Oos,-11.149
Cc1c(O)n(CC2CCc3ccccc3CC2)c(=O)n1Cos,-11.146
Cc1ccc(N2CCCN(C(=O)c3ccc(Cl)c(Cl)c3O)CC2)nn1os,-11.145
Cc1cc(CCNC(=O)C2CCCCC(=O)N2)cc(C)c1Oos,-11.139
CN(C)CC(O)c1cc2n(n1)CCCN(Cc1cccc(-c3ccco3)c1)C2os,-11.134
CN1C(=O)CCCCC1C(=O)NCc1cccc(C(F)(F)F)c1os,-11.126
CCN(CC)CCNC(=O)c1cc2n(n1)CCCN(Cc1cccc(C)c1)C2=Oos,-11.122
O=C(NC(=O)N1CCCCCC1)c1ccc(F)cc1os,-11.12
COc1ccc2c(c1)CCCN(C(=O)c1cc3n(n1)CCO3)C2os,-11.117
COc1cccc(CNC(=O)N(C)C2CCc3nn(C)c(=O)n3CC2)c1os,-11.112
C[C@H]1COc2ccccc2CN1C(=O)NCC1(C(F)(F)F)CCC1os,-11.11
O=C(Cc1ccc(F)cc1)NC1CCCCNC1=Oos,-11.108
CN(C)C(=O)C1CCCCc2nnc(-c3ccccc3)n21os,-11.107
COc1cc(C(=O)NC2CCCCNC2=O)cc(Cl)c1OCos,-11.107
C[C@H](O)CNC(=O)NCc1cc(Cl)c2c(c1)OCCCO2os,-11.106
CC(c1ccc(C(=O)N2CCCNC(=O)C2)o1)N1CCCCC1os,-11.091
O=C(Cc1ccccc1Cl)NC1CCCCNC1=Oos,-11.091
Cc1ccc(C(=O)NC2CCCCNC2=O)cc1Fos,-11.089
Cc1cc(C(=O)NCCN2CCCCCC2)c2c(=O)n(C)c(=O)n(C)c2n1os,-11.087
O=C(NC1CCCCCC1)C1CCN([C@H]2CCS(=O)(=O)C2)CC1os,-11.079
O=C(NC1CCCCNC1=O)c1ccc(Cl)cc1os,-11.057
O=C(NC1CCCCNC1=O)c1cncc(Br)c1os,-11.056
CC(C)(C)[C@H]1CCCN(C(=O)NC2CCC3(CC2)OCCO3)CC1os,-11.053
COc1ccc(C(=O)NC2CCCCNC2=O)cc1Fos,-11.048
Cc1nc(CN2CCN(C3CCCCNC3=O)CC2)cs1os,-11.046
Cc1nc(C)c(C(=O)N2CCOc3ccc(CCC(N)=O)cc3C2)s1os,-11.045
Cc1cccc(CN2CCCn3nc(C(=O)NCCCN4CCCC4)cc3C2=O)c1os,-11.042
O=C(Cc1ccccc1F)NC1CCCCNC1=Oos,-11.04
COCC(=O)NCc1cc2n(n1)CCCN(Cc1ccc(OC)c(C)c1C)C2os,-11.034
O=C(COc1ccccc1)NC1CCCCNC1=Oos,-11.031
COc1cc(C#N)ccc1OCC(=O)NC1CCCCNC1=Oos,-11.03
COCCNC(=O)c1cc2n(n1)CCCN(Cc1ccc(C)cc1)C2=Oos,-11.024
COCCN1CCCn2nc(C3CCCN(Cc4ccccn4)C3)cc2C1=Oos,-11.017
CCOc1ccc(C(=O)NC(C)c2nnc3n2CCCCC3)cc1os,-11.015
CCc1ccc(OCC(=O)NC2CCCCNC2=O)cc1os,-11.012
CN1CCN(CCCNC(=O)C2CCCCc3nnc(-c4ccccc4)n32)CC1os,-11.011
Cc1ccccc1SCC(=O)NC1CCCCNC1=Oos,-11.01
Cc1nnc2n1CCC(NC(=O)c1ccoc1)CC2os,-11.008
C[C@H]1CCOCCN1Cc1nnc(C(=O)Nc2ccccc2)s1os,-11.006
COc1cccc(CNC(=O)C2(C)CCCCC(=O)N2)c1OCos,-11.004
Cc1nnc2n1CCC(N(C)C(=O)c1cncc(Br)c1)CC2os,-10.996
CN(CC(=O)N1CCOc2ccc(CO)cc2C1)C1CCS(=O)(=O)C1os,-10.996
CNC(=O)NCCC(=O)N[C@H]1CCCOc2ccccc21os,-10.989
CCN(CCCc1ccccc1)C(=O)c1cc2n(n1)CC(O)CNC2=Oos,-10.981
CN(CC(=O)N1CCCCCC1)C(=O)c1cc2n(n1)C[C@@H](Oc1cccnc1)C2os,-10.981
O=C(CN1C(=O)CCCc2ccccc21)NCCN1CCCCC1os,-10.96
COCCN1CCCn2nc(C3CCCN(Cc4ccncc4)C3)cc2C1=Oos,-10.956
COc1ccccc1OCC(=O)NC1CCCCNC1=Oos,-10.955
O=C1CCC(C(=O)NCCCSCc2ccco2)NC(=O)N1os,-10.944
